	Desc	Paliwo	Stan	Rok	Przebieg	Cena
119	Fiat Sedici , Salon Polska, 1. Właściciel, Serwis ASO, Klimatronic,	benzyna	bezwypadkowy	2011.0	102622.0	26500.0
120	Fiat Punto Punto Evo , Salon Polska, Serwis ASO, GAZ, Klima	benzyna	bezwypadkowy	2011.0	129566.0	22000.0
121	Fiat Panda II , Salon Polska, Serwis ASO, Klima, wspomaganie Kierownicy	diesel	bezwypadkowy	2009.0	142823.0	8000.0
122	Fiat Bravo II , Salon Polska, Serwis ASO, GAZ, Klimatronic	benzyna	bezwypadkowy	2008.0	152732.0	21200.0
123	Fiat Panda II , Salon Polska, 1. Właściciel, Serwis ASO	benzyna	bezwypadkowy	2004.0	97503.0	10000.0
124	Fiat Grande Punto , Salon Polska, Serwis ASO, Klima	benzyna	bezwypadkowy	2008.0	125968.0	16700.0
125	Fiat 500 , Salon Polska, Serwis ASO, GAZ, Klima, Dach panoramiczny,ALU	benzyna	bezwypadkowy	2010.0	78172.0	25000.0
126	Fiat Tipo , Salon Polska, 1. Właściciel, Serwis ASO, GAZ, VAT 23%,	benzyna	bezwypadkowy	2017.0	5.0	55000.0
127	Fiat Panda II , Salon Polska, 1. Właściciel, Przejechał tylko 44029 KM,	benzyna	bezwypadkowy	2012.0	44029.0	19500.0
128	Fiat 500X Salon Polska, Serwis ASO, GAZ, Navi, Xenon, Bi-Xenon, Klima,	benzyna	bezwypadkowy	2014.0	104328.0	52000.0
129	Fiat Tipo , Salon Polska, 1. Właściciel, Serwis ASO, GAZ, VAT 23%,	benzyna	bezwypadkowy	2017.0	3.0	54000.0
130	Fiat Panda II Fiat Panda Van 1.2/VAT 1/Wsp.CITY/F VAT 23%/Poleca	benzyna	bezwypadkowy	2006.0	257000.0	2900.0
131	Fiat Fiorino III 1.4i + LPG 5-osobowy, Klima, Gwarancja!	benzyna	bezwypadkowy	2010.0	128000.0	21500.0
132	Fiat Bravo II 1.4i 90PS SALON! 60 tys.km! Gwarancja!	benzyna	bezwypadkowy	2012.0	60000.0	30500.0
133	Fiat Sedici 1.6i SALON Model 2011, Stan Jak Nowy! Gwarancja!	benzyna	bezwypadkowy	2010.0	105000.0	28900.0
134	Fiat Panda II VAN/VAT-1A/2010/WSP. CITY/PEŁNA F-RA VAT 23%	diesel	bezwypadkowy	2011.0	151000.0	7500.0
135	Fiat Ducato 2.2 MultiJet Tylko 112 tys.km !!!!!!!	diesel	bezwypadkowy	2011.0	112000.0	27900.0
136	Fiat Doblo MAXI/Vat-1/KLIMA/ELEKTRYKA/F-vat 23%	diesel	bezwypadkowy	2008.0	297000.0	9533.0
137	Fiat Doblo Kangoo/Partner/Combo/Berlingo/2 sztuki/F-vat23%	diesel	bezwypadkowy	2007.0	187000.0	7299.0
138	Fiat Ducato MAXI 2.3 MultiJet 130 PS 12 m-cy Gwarancji !!!	diesel	bezwypadkowy	2014.0	102000.0	42900.0
139	Fiat Panda II ABS - serwisowany - wspomaganie - stan bardzo dobry !!!	benzyna	sprawny	2010.0	59420.0	14500.0
140	Fiat Tipo 16V - salon Polska - ASO - 1 rej 2018 !!!	benzyna	sprawny	2017.0	31300.0	47355.0
141	Fiat Tipo 16V - salon Polska - ASO - 1 rej 2018 !!!	benzyna	sprawny	2017.0	26500.0	47355.0
142	Fiat Punto Evo Punto Evo 8V - klimatyzacja - mp3 - radio cd !!!	benzyna	sprawny	2010.0	133393.0	18900.0
143	Fiat Punto Evo Punto Evo 8V - klimatyzacja - mp3 - radio cd !!!	benzyna	sprawny	2010.0	96315.0	19900.0
144	Fiat Tipo 16V -polski salon - 1 właściciel - aso- 1 rej 2018	benzyna	sprawny	2017.0	13650.0	48499.0
145	Fiat Tipo 16V - polski salon - 1 właściciel -aso - 1 rej 2018	benzyna	sprawny	2017.0	13478.0	48499.0
146	Fiat Ducato MULTIJET - polski salon - aso - plandeka !!!	diesel	bezwypadkowy	2012.0	239327.0	52275.0
147	Fiat Ducato Multijet - polski salon - 1 właściciel -aso- VAT 3 !!!	diesel	bezwypadkowy	2013.0	189881.0	56580.0
148	Fiat Fiorino LPG - polski salon - 1 właściciel - aso - 1 rej 2016 !!!	benzyna	sprawny	2015.0	90497.0	26937.0
149	Fiat Doblo CARGO 2012 1.6JTD-105KM KLIMA SERWIS 160000km	diesel	sprawny	2012.0	160000.0	16900.0
150	Fiat 126	benzyna	sprawny	1999.0	97000.0	24000.0
160	Burstner IXEO Time IT 745 Bezwypadkowy Kempingowy Fiat Ducato 2.3JTD	diesel	bezwypadkowy	2014.0	21200.0	169900.0
161	Fiat Doblo Brygadówka- 5 miejsc, gwarancja, tempomat, klima, 2012 IX	diesel	bezwypadkowy	2012.0	144412.0	25500.0
162	Fiat Doblo Maxi - gwarancja, zarejestrowany, klima, 4 nowe opony, XI2014	diesel	bezwypadkowy	2014.0	130306.0	26900.0
163	Fiat Ducato KONTENER 4.20m Winda DHOLLANDIA Klima 2015r *Gwara	diesel	bezwypadkowy	2015.0	157700.0	64900.0
164	Fiat Ducato L2H2 KLIMA LEDY NAVI GPS Kamera Cofania EURO 6 *Gw	diesel	bezwypadkowy	2018.0	20400.0	59900.0
167	Fiat Stilo Fiat Stilo1.9Diesel	diesel	uszkodzony	2002.0	315596.0	5500.0
171	Fiat Palio FIAT PALIO WEEKEND	benzyna	sprawny	1998.0	154985.0	9200.0
182	Fiat Punto I sprzedam Fiata Punto	benzyna	bezwypadkowy	1998.0	85000.0	15800.0
192	Fiat Linea fiat linea pierwszy właściciel	benzyna	bezwypadkowy	2010.0	138678.0	2600.0
194	Fiat Idea Fiat Idea 1,2 12v opłacony	benzyna	sprawny	2004.0	165000.0	1300.0
201	Fiat Siena Na sprzedaz Fiat Siena 1999	benzyna	bezwypadkowy	1999.0	107001.0	20900.0
202	Fiat 126 Polski Fiat 126p 1997	benzyna	sprawny	1997.0	90000.0	1350.0
203	Fiat Stilo	diesel	sprawny	2001.0	325290.0	1490.0
204	Fiat Seicento	benzyna	sprawny	2007.0	200000.0	28600.0
205	Fiat Qubo	diesel	bezwypadkowy	2011.0	143000.0	3990.0
207	Fiat Tempra	benzyna	sprawny	1995.0	210519.0	1800.0
208	Fiat 500	benzyna	bezwypadkowy	2014.0	73000.0	7300.0
209	Fiat Stilo	diesel	sprawny	2004.0	234262.0	37392.0
210	Fiat Panda	benzyna	sprawny	2005.0	165000.0	13000.0
213	Fiat 124 2017 Fiat 124-Spider - kabriolet	benzyna	uszkodzony	2017.0	29500.0	38007.0
214	Fiat Panda II Fiat Panda 1,1 Pb+Lpg 1 właściciel	benzyna	sprawny	2008.0	317686.0	5781.0
216	Fiat Stilo	benzyna	sprawny	2004.0	145275.0	4900.0
217	Fiat Qubo	diesel	sprawny	2009.0	110000.0	18900.0
227	Fiat Marea	diesel	sprawny	1997.0	286057.0	1800.0
228	Fiat Brava	diesel	sprawny	2001.0	244000.0	3999.0
230	Fiat Brava	benzyna	sprawny	1999.0	209200.0	6500.0
231	Fiat 126	benzyna	sprawny	1998.0	75000.0	3450.0
232	Fiat Stilo	benzyna	sprawny	2002.0	203491.0	2950.0
233	Fiat Panda II sprzedam zadbanego fiata pandę	benzyna	bezwypadkowy	2004.0	146000.0	18900.0
236	Fiat Sedici	benzyna	sprawny	2008.0	121465.0	10400.0
238	FIAT DOBLO 	diesel	uszkodzony	2013.0	166000.0	3700.0
239	Fiat Idea	benzyna	sprawny	2007.0	146000.0	10000.0
240	Fiat 500	benzyna	bezwypadkowy	2018.0	31500.0	12000.0
241	Fiat Seicento	benzyna	bezwypadkowy	2002.0	136500.0	1550.0
243	Fiat Doblo I	benzyna	bezwypadkowy	2007.0	200000.0	15000.0
244	Fiat 500 , Salon Polska	benzyna	bezwypadkowy	2008.0	87833.0	16000.0
245	Fiat Panda II van	benzyna	sprawny	2005.0	330000.0	4500.0
246	Fiat Punto II	benzyna	sprawny	2002.0	347000.0	2200.0
247	Fiat Doblo II	diesel	bezwypadkowy	2013.0	152852.0	26922.0
248	Fiat Grande Punto	benzyna	bezwypadkowy	2006.0	83170.0	14500.0
249	Fiat Punto II	benzyna	sprawny	2004.0	235000.0	4500.0
250	Fiat Punto II	benzyna	sprawny	2000.0	295000.0	1999.0
252	Fiat Brava SPORT @@@@@@@@@@@@@@@@@@@@@@@@@@@	benzyna	sprawny	1999.0	89000.0	3100.0
254	Fiat Sedici	diesel	sprawny	2007.0	213000.0	19900.0
255	Fiat Bravo II Fiat Bravo II	benzyna	sprawny	2013.0	163000.0	22900.0
274	Fiat Marea	benzyna	bezwypadkowy	1988.0	186000.0	2499.0
275	Fiat Qubo	diesel	bezwypadkowy	2014.0	121000.0	19900.0
276	Fiat Freemont	diesel	bezwypadkowy	2012.0	106000.0	51900.0
277	Fiat Scudo II Fiat Scudo 2.0 Diesel 2010r. 120KM	diesel	sprawny	2010.0	75105.0	29999.0
278	Fiat Punto III Fiat Punto Classic 5d 1.2L 60KM benzyna	benzyna	bezwypadkowy	2009.0	96452.0	9696.0
279	Fiat Seicento Fiat Seicento rocznik 2001, mały przebieg	benzyna	bezwypadkowy	2001.0	87665.0	1800.0
280	Fiat Siena Fiat Siena 1.6, benzyna+gaz, pierwszy właściciel	benzyna	bezwypadkowy	1998.0	98000.0	3500.0
281	Fiat Stilo Fiat Stilo 1.9 JTD DYNAMIC 115KM 2002r.	diesel	sprawny	2002.0	306000.0	2300.0
282	Fiat 500 Fiat 500 1.2 Pop FV 23%, Gwarancja!!	benzyna	sprawny	2017.0	22471.0	39483.0
284	Fiat Ducato II Kempingowy	diesel	bezwypadkowy	2002.0	146100.0	65900.0
285	Fiat Punto II	benzyna	bezwypadkowy	2003.0	191000.0	6500.0
286	Fiat Punto II FL	benzyna	sprawny	2005.0	144305.0	4900.0
287	Fiat Bravo II	diesel	bezwypadkowy	2007.0	173938.0	12000.0
288	Fiat Grande Punto	benzyna	bezwypadkowy	2006.0	104000.0	13900.0
289	Fiat Doblo II	diesel	bezwypadkowy	2013.0	152852.0	26922.0
290	Fiat Scudo II	diesel	bezwypadkowy	2007.0	300000.0	17000.0
291	Fiat Panda II	benzyna	bezwypadkowy	2005.0	130000.0	6700.0
292	Fiat Idea Automat, Klimatyzacja	diesel	sprawny	2006.0	137000.0	11900.0
293	Fiat Punto III	benzyna	sprawny	2004.0	132000.0	5900.0
294	Fiat Punto II	benzyna	sprawny	2002.0	133000.0	2700.0
295	Fiat Grande Punto	benzyna	bezwypadkowy	2007.0	164812.0	11500.0
296	Fiat Punto III	benzyna	bezwypadkowy	2006.0	191085.0	6000.0
297	Fiat Panda III	benzyna	bezwypadkowy	2012.0	74000.0	23900.0
298	Fiat Grande Punto	benzyna	uszkodzony	2006.0	145571.0	4500.0
299	Fiat Punto Evo	benzyna	sprawny	2010.0	126000.0	16700.0
300	Fiat Grande Punto	benzyna	bezwypadkowy	2006.0	167000.0	12900.0
302	Fiat Sedici 4X4/ 2009	diesel	sprawny	2008.0	140000.0	15900.0
303	Fiat Punto IV	benzyna	sprawny	2015.0	14000.0	21800.0
305	Fiat Grande Punto	benzyna	bezwypadkowy	2006.0	148134.0	11900.0
306	Fiat 500L Fiat 500L 1.4 16V Pop Star	benzyna	sprawny	2017.0	11383.0	45510.0
307	Fiat Grande Punto Fiat Grande Punto 1.4 benzyna + LPG	benzyna	sprawny	2007.0	166615.0	10000.0
308	Fiat Croma II	diesel	sprawny	2007.0	150000.0	12400.0
309	Fiat Scudo II *Gwarancja*	diesel	sprawny	2008.0	198000.0	20787.0
310	Fiat 126 126P	benzyna	sprawny	1999.0	136000.0	4800.0
312	Fiat Fiorino III	benzyna	sprawny	2013.0	70000.0	16800.0
313	Fiat Punto III van	diesel	sprawny	2008.0	187000.0	8500.0
314	Fiat Punto II	benzyna	sprawny	2000.0	148707.0	2900.0
315	Fiat Doblo I 223	benzyna	sprawny	2002.0	230000.0	7900.0
316	Fiat 500 Fiat 500 mały przebieg, alu , solar, climatronic	diesel	bezwypadkowy	2007.0	91100.0	17900.0
317	Fiat Sedici 4x4 bardzo ładny	diesel	bezwypadkowy	2008.0	125000.0	19800.0
318	Fiat Punto II Wspomaganie, Zarejestrowany	benzyna	sprawny	2001.0	193000.0	3800.0
319	Fiat Panda II  rocznik 2004	benzyna	bezwypadkowy	2004.0	211000.0	3700.0
320	Fiat Cinquecento Unikat dla kolekcjonera	benzyna	bezwypadkowy	1993.0	54000.0	9900.0
321	Fiat Panda III Klimatyzacja	benzyna	sprawny	2012.0	82000.0	20500.0
322	Fiat Bravo II ZarejestrowanyLiftKlimatyzacjaKomputerWspomaganieC	diesel	sprawny	2009.0	176000.0	13900.0
323	Fiat Grande Punto	diesel	sprawny	2008.0	230000.0	9900.0
324	Fiat Stilo - VIP GWARANCJA!	diesel	sprawny	2004.0	190000.0	5000.0
325	Fiat Tipo LOUNGE	benzyna	bezwypadkowy	2016.0	37000.0	44000.0
326	Fiat Sedici 16V Dynamic	benzyna	bezwypadkowy	2007.0	170953.0	15900.0
327	Fiat Bravo II	diesel	sprawny	2008.0	172000.0	16400.0
328	Fiat 500 2012 Gucci	benzyna	sprawny	2012.0	103501.0	32595.0
329	Fiat 125p KUPIĘ fiata 125 p z 70-tych lat	benzyna	sprawny	1900.0	200000.0	10000.0
330	Fiat Grande Punto Fiat Punto 1.2 Active 60KM_Klima_Super_Okazja!	benzyna	bezwypadkowy	2007.0	115628.0	13500.0
331	Fiat Croma II multijet	diesel	sprawny	2005.0	218000.0	8700.0
333	Fiat 500 Automat	benzyna	sprawny	2014.0	45000.0	27600.0
334	Fiat Tipo LOUNGE	benzyna	bezwypadkowy	2017.0	7200.0	59000.0
335	Fiat Fiorino III QUBO	benzyna	bezwypadkowy	2011.0	59400.0	22900.0
336	Fiat Grande Punto	benzyna	bezwypadkowy	2008.0	74727.0	16000.0
337	Fiat Grande Punto	benzyna	sprawny	2009.0	140000.0	12900.0
338	Fiat Stilo JTD	diesel	bezwypadkowy	2005.0	98000.0	7200.0
339	Fiat 500 Krajowy, WX97147	benzyna	sprawny	2017.0	9271.0	34999.0
340	Fiat Grande Punto	diesel	sprawny	2012.0	111000.0	16900.0
341	Fiat Panda II Wspomaganie31tys.kmKLIMATYZACJAkrajowyABS	benzyna	bezwypadkowy	2010.0	31000.0	14800.0
343	Fiat Qubo Fiat Qubo 1.4 benz/LPG, 40000 km przebiegu.	benzyna	sprawny	2013.0	40400.0	25900.0
344	Fiat Siena Sprzedam Fiat Siena 1.6, 103 KM	benzyna	bezwypadkowy	1997.0	220000.0	1600.0
345	Fiat Punto II Fiat Punto 1.2 Active * Klimatyzacja *	benzyna	sprawny	2003.0	138000.0	6900.0
347	Fiat Ducato III	diesel	sprawny	2017.0	46618.0	70600.0
348	Fiat Croma II	diesel	sprawny	2006.0	149265.0	4770.0
349	Fiat Punto Grande	benzyna	sprawny	2008.0	118400.0	22300.0
350	Fiat 500 , Salon Polska	benzyna	bezwypadkowy	2008.0	87833.0	16000.0
352	Fiat Seicento S	benzyna	sprawny	2001.0	171000.0	1500.0
353	Fiat Grande Punto	benzyna	sprawny	2010.0	86000.0	16900.0
354	Fiat Seicento Zarejestrowany - ubezpieczony	benzyna	sprawny	2001.0	217000.0	2490.0
355	Fiat Grande Punto	benzyna	sprawny	2006.0	172000.0	9999.0
357	Fiat 500 Electric	nap	bezwypadkowy	2014.0	36800.0	56000.0
358	Fiat Seicento Brush	benzyna	sprawny	2001.0	154000.0	2700.0
359	Fiat Punto Evo	benzyna	bezwypadkowy	2010.0	139000.0	16900.0
360	Fiat Tipo Fiat Tipo jak nowy , gwarancja fabryczna	benzyna	bezwypadkowy	2017.0	36121.0	42800.0
361	Fiat 500 Fiat 500 1.2 Pop, Benzyna, FV 23%, Gwarancja!!	benzyna	bezwypadkowy	2016.0	18358.0	37023.0
363	Fiat Punto IV , GAZ, Klima	benzyna	bezwypadkowy	2013.0	127209.0	20000.0
364	Fiat Punto IV , GAZ, Klima	benzyna	bezwypadkowy	2013.0	127209.0	20000.0
365	Fiat Sedici , Klima, Podgrzewane siedzienia	diesel	bezwypadkowy	2008.0	225432.0	10000.0
366	Fiat Bravo II - VIP GWARANCJA!	diesel	sprawny	2007.0	177000.0	14500.0
367	Fiat Stilo Zadbany	diesel	sprawny	2002.0	290000.0	8777.0
368	Fiat Panda II 4x4	benzyna	sprawny	2004.0	128047.0	11900.0
369	Fiat Bravo II	diesel	bezwypadkowy	2010.0	165000.0	19900.0
370	Fiat Sedici , Klima, Podgrzewane siedzienia	diesel	bezwypadkowy	2008.0	225432.0	10000.0
371	Fiat Bravo II - VIP GWARANCJA!	diesel	sprawny	2007.0	177000.0	14500.0
373	Fiat 126 Zarejestrowany nowy lakier	benzyna	sprawny	1995.0	143000.0	6500.0
374	Fiat Grande Punto Multi Jet	diesel	sprawny	2009.0	340000.0	8500.0
375	Fiat Qubo , Salon Polska, GAZ	benzyna	bezwypadkowy	2009.0	153410.0	16500.0
376	Fiat Stilo ZAREJESTROWANY!, Bezwypadkowy, Sprowadzony.	diesel	bezwypadkowy	2003.0	226000.0	5300.0
377	Fiat Ducato III MAXI 130ps	diesel	bezwypadkowy	2007.0	250000.0	23247.0
378	Fiat Punto Punto Evo , Klima	benzyna	bezwypadkowy	2011.0	74340.0	20000.0
379	Fiat 125p Super Zarejestrowany Jeżdżący	benzyna	sprawny	1985.0	61000.0	9999.0
381	Fiat Seicento 900 SPRAWNE! Oszczędne!	benzyna	sprawny	2001.0	194414.0	1799.0
382	Fiat Panda II Van 1.2	benzyna	sprawny	2011.0	232000.0	9840.0
384	Fiat Punto I 55 S	benzyna	sprawny	1998.0	205800.0	1750.0
385	Fiat Punto III zarejestrowany KLIMA	diesel	sprawny	2005.0	180100.0	5300.0
386	Fiat Punto IV salon polska	benzyna	sprawny	2014.0	32000.0	25800.0
388	Fiat Bravo II 1.4 Turbo	benzyna	bezwypadkowy	2008.0	161000.0	18900.0
389	Fiat 500X I Salon Polska	benzyna	sprawny	2015.0	41870.0	51800.0
390	Fiat Panda III KrajowyJAK NOWY11tys.km.KLIMATYZACJA	benzyna	bezwypadkowy	2016.0	11500.0	29500.0
391	Fiat Stilo MultiJet 120 KM	diesel	sprawny	2006.0	305000.0	9500.0
392	Fiat Sedici Zarejestrowany - benzyna - 4x4	benzyna	bezwypadkowy	2008.0	116000.0	22900.0
393	Fiat Croma II Multi jet	diesel	sprawny	2008.0	114000.0	16900.0
394	Fiat Sedici z Gwarancją_2.0D_135KM_4x4WD_Mod=2011r	diesel	bezwypadkowy	2010.0	200000.0	19980.0
395	Fiat 500 0.9 Twinair Pop	benzyna	sprawny	2011.0	29182.0	17900.0
396	Fiat Punto Evo salon polska	benzyna	bezwypadkowy	2011.0	77000.0	20900.0
397	Fiat Tipo Fiat Tipo 1.4 Benzyna + LPG, FV 23%, Gwarancja!!	benzyna	bezwypadkowy	2017.0	84176.0	32349.0
398	Fiat 500 1,2i	benzyna	sprawny	2011.0	66000.0	21900.0
399	Fiat 500 Pop	benzyna	sprawny	2015.0	16864.0	33900.0
400	Fiat 500 1.4 16V	benzyna	bezwypadkowy	2008.0	120772.0	16900.0
401	Fiat Sedici Dynamic	diesel	bezwypadkowy	2009.0	117211.0	20900.0
402	Fiat Scudo II CIĘZAROWY	diesel	bezwypadkowy	2011.0	155000.0	19300.0
404	Fiat Seicento Brush / Led dzienne	benzyna	bezwypadkowy	2002.0	205000.0	4900.0
405	Fiat Bravo II Benzyna 90KM	benzyna	bezwypadkowy	2008.0	220000.0	17900.0
406	Fiat Sedici _Lift_Jeden Właściciel_Po Opłatach_	benzyna	bezwypadkowy	2009.0	86000.0	21700.0
407	Fiat 126 Zarejestrowany nowy lakier	benzyna	sprawny	1995.0	143000.0	6500.0
408	Fiat Grande Punto Multi Jet	diesel	sprawny	2009.0	340000.0	8500.0
409	Fiat Qubo , Salon Polska, GAZ	benzyna	bezwypadkowy	2009.0	153410.0	16500.0
410	Fiat Stilo ZAREJESTROWANY!, Bezwypadkowy, Sprowadzony.	diesel	bezwypadkowy	2003.0	226000.0	5300.0
411	Fiat Ducato III MAXI 130ps	diesel	bezwypadkowy	2007.0	250000.0	23247.0
412	Fiat Seicento Fiat Seicento benzyna 899 cm	benzyna	bezwypadkowy	2002.0	125000.0	1700.0
413	 2002 r. Niski przebieg!	benzyna	sprawny	2017.0	49469.0	30135.0
414	Fiat Fiorino III FIAT Fiorino 1.4 Euro 6 1368ccm - 77KM 1.4 8V SX	diesel	uszkodzony	2005.0	227000.0	5900.0
415	Fiat Doblo I Fiat Doblo Diesel 1,9JTD klima ABS 105KM 5-osób	benzyna	bezwypadkowy	2006.0	148125.0	13400.0
416	Fiat Doblo I 1,4 klima !	diesel	sprawny	2010.0	181000.0	17900.0
417	Fiat Bravo II salon Polska	benzyna	sprawny	2012.0	137847.0	34900.0
418	Fiat Sedici ASO.pl,gwarancja, opony	diesel	bezwypadkowy	2013.0	105000.0	56900.0
419	Fiat Freemont skóra, nawigacja, 4x4	benzyna	sprawny	2004.0	181000.0	4399.0
420	Fiat Stilo 1.4 16V Actual	benzyna	bezwypadkowy	2011.0	74340.0	20000.0
421	Fiat Punto Punto Evo , Klima	benzyna	uszkodzony	2014.0	141428.0	13500.0
423	Fiat 126 gotowy do odrestaurowania	benzyna	sprawny	2007.0	167300.0	3990.0
424	Fiat Punto Grande Benzyna+CNG	benzyna	bezwypadkowy	2016.0	158000.0	25000.0
426	Fiat 500 Pop 1.2 8v 69KM Pomorskie	benzyna	sprawny	2004.0	124000.0	5100.0
427	Fiat Panda II IWL.SALON POLSKA,UTRZYMANY,SERWISOWANY	benzyna	sprawny	2001.0	170000.0	2500.0
428	Fiat Seicento saet arosa benzyna sprawne	benzyna	sprawny	1984.0	66000.0	9900.0
430	Fiat Panda II 1.1 Active Olympic	benzyna	sprawny	1975.0	86216.0	6900.0
431	Fiat 127 Ikona motoryzacji*Sprawny*Jeżdżący*	benzyna	bezwypadkowy	2008.0	138327.0	10000.0
432	Fiat Grande Punto , Salon Polska, Serwis ASO	benzyna	bezwypadkowy	2010.0	68423.0	12700.0
433	Fiat Panda II , Salon Polska, 1. Właściciel	benzyna	bezwypadkowy	2006.0	173000.0	10900.0
435	Fiat Punto II wspomaganie CITY salon Polska	diesel	bezwypadkowy	2002.0	165000.0	3900.0
436	Fiat Bravo II , Salon Polska, Serwis ASO	benzyna	bezwypadkowy	2009.0	121945.0	23500.0
437	Fiat Grande Punto , Salon Polska, GAZ, Klima	benzyna	bezwypadkowy	2008.0	148951.0	15900.0
